unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.3691,0.0444,0.4135,,0.1945,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Centre (including Ouagadougou)
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.1397,0.0089,0.1486,,0.3504,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Centre-Est
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.2163,0.006,0.2223,,0.3111,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Centre-Nord
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.2636,0.0176,0.2812,,0.2889,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Centre-Ouest
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.3412,0.035,0.3762,,0.3125,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Centre-Sud
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.2202,0.0012,0.2214,,0.3377,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Est
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.3344,0.0069,0.3413,,0.3342,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Hauts Bassins
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.2369,0.0059,0.2429,,0.317,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Nord
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.3057,0.0236,0.3293,,0.2589,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Plateau Central
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.1258,0.0059,0.1317,,0.4307,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Sahel
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.2142,0.0194,0.2337,,0.1771,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Sud-Ouest
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.2085,0.0115,0.22,,0.2444,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Boucle de Mouhoun
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.2116,0,0.2116,,0.2346,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Cascades
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.4342,0.0425,0.4767,,0.1652,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Centre (including Ouagadougou)
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.2321,0.0031,0.2351,,0.196,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Centre-Est
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.1781,0.006,0.184,,0.3419,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Centre-Nord
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.2538,0.007,0.2608,,0.2355,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Centre-Ouest
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.3766,0,0.3766,,0.304,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Centre-Sud
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.2561,0.0068,0.2629,,0.3559,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Est
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.3614,0.0121,0.3734,,0.2419,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Hauts Bassins
